,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451
0,319,326,278,324,338,275,357,332,276,319,327,278,324,338,275,357,331,276,320,327,279,325,340,277,358,335,275,318,326,277,323,336,274,356,330,275,317,325,277,322,336,274,356,329,275,317,325,277,322,336,274,355,329,275,317,325,276,322,335,274,355,328,275,318,327,276,322,335,274,355,329,275,316,324,275,321,334,272,354,327,274,315,324,275,320,334,273,354,327,274,315,324,275,320,334,272,354,327,273,316,325,276,322,335,273,357,330,276,316,325,276,322,335,274,356,328,275,317,326,277,324,337,275,358,330,276,316,325,276,322,336,274,357,329,275,316,326,277,323,337,275,358,329,276,315,326,276,322,336,274,358,329,275,315,326,276,322,336,274,357,329,275,315,325,276,322,336,274,359,330,276,315,325,276,321,336,275,357,329,275,316,325,277,322,337,275,359,330,277,314,323,275,320,334,273,355,327,274,313,324,274,320,334,273,355,327,274,314,325,275,322,335,273,356,328,275,315,324,275,321,335,274,356,328,275,315,325,275,322,336,274,356,328,275,314,325,276,322,335,274,356,328,275,315,325,276,322,335,274,356,328,275,314,325,275,322,335,274,355,328,275,314,325,276,322,335,274,356,329,275,314,326,276,322,334,274,356,329,275,314,325,276,322,334,274,356,329,275,314,325,276,321,335,273,356,329,275,314,325,276,322,335,274,356,330,275,315,326,276,322,336,273,356,330,276,314,325,276,322,336,274,356,329,275,315,325,276,322,336,274,356,329,275,314,325,276,322,336,274,356,329,275,314,325,276,322,336,274,355,329,275,314,325,276,322,336,274,356,329,275,314,325,276,322,335,274,356,328,276,314,325,276,322,335,274,357,328,276,315,326,276,322,336,273,357,328,276,314,326,275,321,336,273,357,329,276,315,325,276,321,336,273,357,329,275,315,325,276,322,335,273,357,329,275,315,325,276,322,335,274,357,328,276,315,325,276,323,335,274,358,328,275,314,325,275,322,335,274,357,329,276,315,325,276,321,336,274,358,329,275,standing
1,317,327,276,323,339,275,358,331,276,317,327,277,323,338,275,358,331,276,317,327,276,323,338,275,358,331,276,317,327,277,324,338,275,358,331,275,317,328,277,323,339,275,358,331,276,318,327,277,323,338,275,358,331,276,317,327,276,323,338,275,359,331,275,317,327,276,323,338,275,358,330,276,316,326,276,323,338,275,358,331,276,317,327,276,323,338,276,358,331,276,316,327,277,323,338,276,357,331,277,317,327,277,323,338,275,357,330,276,317,327,277,324,338,275,357,330,276,317,327,277,323,338,275,357,330,277,317,327,277,323,337,275,357,330,276,316,327,277,323,337,275,358,330,277,316,327,277,324,337,275,357,330,276,315,325,275,322,336,273,356,328,275,316,325,276,322,335,273,356,329,275,316,325,276,322,336,273,356,328,275,316,325,276,322,336,274,356,328,275,316,325,276,322,336,273,356,328,275,316,325,276,322,336,274,355,328,276,316,325,276,321,336,273,357,330,277,316,325,276,321,336,274,355,329,275,316,325,276,321,336,274,355,329,275,316,325,276,322,337,274,355,329,275,316,325,276,321,336,274,355,329,275,316,325,275,322,337,274,355,329,275,316,325,276,322,337,274,355,330,275,315,325,276,321,336,274,356,329,275,315,325,275,322,336,275,356,329,275,316,325,275,321,336,274,356,329,275,315,326,275,321,335,274,355,329,275,315,326,276,321,335,274,356,329,275,315,325,275,322,336,273,356,329,275,315,326,276,322,336,274,356,329,275,315,326,276,322,335,274,356,329,276,314,324,276,321,334,272,354,327,274,314,324,275,321,335,272,354,328,274,314,324,274,321,335,273,354,328,273,315,324,274,321,334,273,354,327,274,315,324,274,321,335,272,354,328,273,315,324,274,321,335,272,354,327,273,314,324,274,320,335,272,354,327,274,315,325,274,320,335,273,354,327,274,314,324,275,320,335,272,355,327,274,314,324,274,320,335,273,355,327,274,314,324,274,320,335,272,355,327,274,315,324,276,325,336,275,359,328,274,standing
2,316,326,276,322,336,274,356,329,275,316,326,276,322,336,274,356,329,275,316,326,276,322,336,274,356,329,275,316,326,276,322,335,274,355,329,275,316,326,276,322,335,274,355,329,275,316,326,275,321,334,273,355,329,275,315,326,276,321,334,274,355,329,275,316,326,276,321,334,273,356,329,275,315,325,277,322,335,274,356,329,274,316,325,275,322,335,273,356,329,274,315,325,275,322,335,273,356,329,274,315,326,275,322,335,273,356,329,274,314,324,274,321,334,272,355,328,273,314,324,274,321,334,272,354,327,273,314,324,275,321,334,272,354,327,274,314,324,275,321,334,272,354,327,274,314,324,274,321,334,272,354,327,274,314,324,274,321,334,273,354,327,274,314,324,274,321,335,272,354,327,274,314,324,274,321,336,273,354,327,274,314,324,275,321,336,273,354,328,275,314,324,275,321,336,273,354,327,275,314,324,275,320,336,273,354,328,275,314,324,275,320,336,273,354,327,275,315,324,275,320,335,273,354,327,274,314,324,275,320,335,272,354,327,274,314,324,274,320,335,272,354,328,275,316,325,275,320,334,272,354,327,274,314,323,275,321,334,273,354,327,274,313,323,275,321,334,273,354,328,274,313,323,275,321,334,272,354,327,274,313,323,275,320,334,272,354,328,274,313,322,275,320,334,272,355,327,273,313,322,274,320,334,272,354,328,273,313,322,274,320,335,272,354,328,273,313,322,273,319,334,273,354,328,274,313,322,273,319,335,272,354,327,273,313,322,273,320,335,272,353,327,273,313,323,273,320,334,272,353,327,273,314,324,274,321,336,273,354,328,274,313,323,274,320,335,272,353,327,273,313,324,274,321,334,273,353,327,273,313,323,274,321,334,272,353,327,274,314,323,275,320,334,272,353,327,274,314,323,275,320,333,272,352,327,274,314,324,275,320,334,272,352,327,274,313,324,275,319,333,272,352,327,274,314,324,274,319,333,272,352,327,273,313,324,275,320,333,272,353,326,273,313,324,274,321,334,272,355,327,273,standing
3,316,325,276,322,336,274,357,330,275,316,325,276,322,336,274,357,330,275,316,325,276,323,336,274,357,330,275,316,325,276,323,336,274,357,329,275,316,325,275,324,336,274,357,330,275,317,325,276,322,336,274,356,329,275,316,325,276,323,336,274,356,329,275,316,325,276,323,337,274,356,329,275,316,325,276,323,337,274,356,329,275,317,325,276,322,337,274,356,329,275,316,325,276,322,337,274,356,329,276,316,325,276,322,337,275,356,329,276,316,325,276,322,337,274,356,329,276,315,323,275,321,336,273,355,328,275,315,323,275,320,336,272,354,327,275,315,323,274,320,336,273,354,327,275,315,324,275,320,336,272,354,327,274,314,325,277,321,336,273,354,326,274,314,323,274,320,335,273,354,327,275,314,324,274,320,335,272,354,327,274,314,323,274,320,335,273,354,327,273,314,324,274,320,334,273,355,327,273,314,324,274,320,334,272,354,327,274,314,324,274,320,334,272,355,327,274,314,324,274,320,334,272,354,327,273,314,324,274,320,333,272,354,327,273,314,324,274,321,334,272,354,328,273,314,323,274,320,334,272,354,328,273,314,324,274,321,333,272,355,328,273,314,324,275,321,334,273,356,329,275,313,324,275,322,334,272,354,328,274,314,324,275,321,335,272,354,328,274,314,324,275,320,336,273,354,328,275,314,324,275,320,336,273,354,328,274,314,324,275,320,336,273,355,328,274,314,324,275,320,336,272,354,328,274,314,324,274,320,336,273,354,327,274,313,324,275,320,335,273,354,328,274,313,324,275,320,335,273,354,328,274,313,324,274,320,334,272,355,328,273,313,324,274,320,333,272,354,327,274,313,324,274,320,333,272,354,328,273,313,324,274,321,333,272,354,327,273,314,324,275,321,335,272,354,327,273,314,324,276,321,335,273,354,328,274,315,325,276,322,337,273,356,330,275,314,324,274,320,336,272,355,328,274,313,323,275,321,337,273,355,327,274,313,323,274,320,335,272,354,327,274,313,323,274,320,334,273,354,327,274,standing
4,315,325,276,322,337,274,357,330,276,315,326,276,322,337,274,357,330,276,315,326,277,322,336,274,357,329,276,314,326,276,322,336,274,356,329,276,314,325,276,322,336,274,356,329,275,314,325,276,322,336,273,356,329,275,315,325,276,322,336,274,356,329,275,314,325,276,322,336,274,356,329,275,314,325,276,322,336,273,356,329,276,315,325,276,322,336,273,356,329,276,315,325,276,323,336,274,356,329,275,315,325,276,322,336,274,356,329,276,313,324,275,321,335,273,354,327,274,314,323,275,321,335,273,354,327,274,313,323,275,322,335,272,354,326,275,314,324,275,321,335,272,354,327,274,314,323,275,321,336,273,355,327,274,314,323,275,321,335,272,355,327,274,314,323,275,321,335,272,355,327,274,314,323,275,320,335,272,355,327,274,314,323,274,320,336,272,355,327,274,314,323,275,320,335,272,355,328,274,314,324,274,320,335,273,355,328,274,315,325,275,321,336,273,355,328,273,313,324,274,320,335,273,355,327,273,313,324,274,320,334,273,354,328,273,313,324,274,320,334,272,355,327,273,313,324,274,320,334,272,354,328,273,314,324,274,321,334,272,354,327,274,314,324,274,322,334,272,354,328,273,314,324,274,321,334,273,355,328,274,314,324,276,323,336,274,356,328,274,314,324,274,321,334,272,354,327,274,315,323,274,320,335,272,354,327,274,315,324,275,320,335,272,354,328,274,314,323,274,320,335,272,354,328,274,314,324,274,319,335,273,354,327,274,314,323,274,320,334,273,355,328,275,314,323,274,320,333,272,353,327,273,314,324,274,320,334,272,353,327,273,314,324,274,320,333,272,353,327,273,314,324,274,321,334,272,354,327,273,314,323,274,321,334,272,354,327,273,314,323,274,321,335,273,355,327,274,313,323,274,320,335,272,354,327,274,313,323,274,320,335,273,354,327,273,313,323,274,319,335,272,354,327,274,313,323,274,319,334,272,354,327,273,313,323,274,320,333,272,354,327,273,313,323,274,320,334,272,354,327,273,standing
5,316,326,276,322,336,274,356,329,275,315,326,276,322,337,275,356,329,275,315,325,276,322,336,274,356,329,275,316,325,276,322,336,274,356,329,275,316,325,276,322,336,274,356,329,275,316,325,276,323,336,274,355,329,275,316,325,276,322,336,274,355,329,275,317,326,277,323,337,275,357,329,275,316,325,276,322,335,274,356,329,275,316,325,276,322,336,274,356,329,275,316,325,276,322,335,274,356,329,275,316,325,277,323,336,273,356,329,275,316,326,275,322,334,272,354,328,274,314,323,275,321,334,272,354,328,273,314,323,275,321,334,272,355,328,274,315,325,276,323,335,273,355,329,275,314,323,275,320,334,273,354,328,274,314,323,275,321,334,272,354,328,273,315,324,275,321,337,274,357,330,276,316,325,276,322,336,273,356,329,275,316,325,276,322,336,274,356,329,275,315,325,276,322,336,274,357,329,276,315,325,276,321,336,274,357,329,275,316,325,276,322,337,275,357,329,275,315,326,276,322,337,275,358,331,276,313,324,275,320,335,273,355,328,274,313,324,274,320,335,273,355,328,274,314,325,275,321,335,273,356,329,275,314,325,275,321,335,274,356,328,274,315,325,275,322,336,274,356,329,275,315,326,275,322,335,274,356,329,275,315,325,276,322,335,274,356,329,275,315,325,276,322,335,273,356,331,275,315,325,276,322,337,274,358,330,276,315,325,276,322,336,274,356,329,275,316,325,276,322,336,274,356,329,275,316,325,276,322,336,274,356,329,275,316,325,276,322,337,274,356,329,275,315,325,277,322,337,274,357,329,275,315,325,276,321,337,274,357,330,276,315,325,276,322,337,274,356,329,275,315,325,276,322,336,274,355,330,276,315,325,276,322,335,273,356,329,275,315,325,276,322,334,273,356,329,274,315,325,275,322,335,273,356,329,275,315,325,276,323,336,274,356,329,275,316,326,277,323,337,275,358,330,277,315,325,277,322,336,274,356,329,275,315,325,276,322,336,274,357,329,275,315,325,276,322,336,273,356,329,275,standing
6,316,326,276,322,336,274,357,330,276,316,326,276,322,337,274,357,330,276,315,326,276,322,336,274,357,329,275,315,326,276,322,336,274,357,329,275,315,326,276,325,336,274,357,329,275,315,326,276,322,336,274,356,329,275,315,325,275,323,336,274,356,329,275,315,325,275,322,336,274,356,329,275,315,326,275,322,336,274,356,329,275,315,325,275,322,336,274,356,329,275,315,325,275,322,336,274,356,329,275,315,325,275,322,336,273,356,329,275,314,324,274,321,335,272,354,327,274,313,324,274,321,335,272,354,327,273,313,324,274,321,335,273,354,327,274,314,324,274,322,335,273,354,328,274,313,324,274,321,335,273,354,328,274,314,324,275,321,335,273,354,328,274,314,324,275,321,335,273,355,328,274,314,324,274,320,334,272,354,328,274,314,324,275,320,334,272,354,328,274,313,324,275,320,334,272,354,328,274,315,326,276,320,337,273,354,330,276,315,325,276,322,337,273,354,327,274,313,325,276,325,336,275,354,326,274,316,324,275,320,335,272,354,327,274,313,324,275,321,335,273,353,328,274,313,324,275,320,335,273,353,330,275,315,326,275,321,334,273,354,328,274,314,324,274,321,334,273,354,328,274,314,324,274,320,334,272,354,328,274,314,323,274,320,334,272,354,328,274,314,324,274,320,334,272,354,327,273,314,323,274,320,335,272,354,327,273,313,323,274,321,334,272,353,327,274,313,324,274,320,334,273,354,327,273,313,323,274,320,335,272,354,327,273,313,324,274,320,335,272,354,327,273,314,323,274,320,335,272,354,327,273,314,323,274,320,334,272,354,327,274,314,323,274,320,334,272,354,327,273,314,323,274,320,334,272,353,327,274,314,323,274,320,334,272,353,327,274,314,324,275,320,333,272,353,327,273,314,323,275,320,334,272,353,327,273,314,323,275,320,334,272,354,327,274,314,324,275,320,335,273,355,328,274,313,323,274,320,334,272,354,327,274,313,323,274,321,333,272,354,327,273,313,323,274,320,334,272,354,327,273,standing
7,315,325,276,322,336,274,357,329,275,315,326,276,322,336,274,357,329,275,316,326,276,322,336,273,356,330,275,315,325,276,322,336,274,356,330,275,315,326,276,322,336,274,356,329,275,315,325,275,322,336,273,356,329,275,315,325,276,323,337,273,356,330,275,315,325,276,322,336,274,356,329,275,316,326,277,323,337,274,356,329,274,315,325,276,322,336,274,355,329,274,315,325,275,322,336,274,355,329,275,315,326,275,322,336,274,355,329,275,315,325,276,322,335,272,354,328,274,314,324,274,320,335,273,354,328,274,314,324,274,320,335,272,354,327,273,314,324,274,321,334,272,355,328,274,315,326,275,322,336,274,355,329,276,314,324,275,321,335,272,354,327,274,314,324,275,320,335,272,354,327,274,314,324,275,320,335,272,354,327,274,314,324,274,320,334,272,354,327,274,314,324,275,320,334,272,354,327,274,314,324,274,320,335,272,354,327,274,314,324,275,320,335,272,354,327,274,314,324,275,320,335,272,354,327,274,314,324,275,321,334,273,355,327,274,314,324,275,321,334,273,355,328,274,314,324,275,321,334,273,357,327,274,314,324,275,321,334,272,354,327,274,314,323,275,321,334,272,355,328,274,314,324,275,321,335,273,354,327,274,314,324,274,320,334,272,354,327,274,314,323,274,320,334,273,355,327,274,315,324,274,320,334,273,354,327,274,314,324,274,320,335,273,355,327,274,314,324,274,320,335,272,354,327,273,314,324,274,320,335,272,354,327,274,314,324,274,320,335,272,354,327,274,314,324,275,320,335,272,354,327,274,313,324,275,320,335,272,354,327,274,315,324,274,321,334,272,354,328,274,313,324,275,321,333,272,354,327,274,314,324,275,320,334,272,354,328,274,313,324,275,320,335,273,354,328,274,314,324,275,320,335,272,354,328,274,314,324,274,321,335,272,354,328,274,314,324,274,321,335,272,354,328,274,314,324,274,321,335,273,354,327,274,314,324,274,321,335,272,353,327,274,314,325,274,321,335,272,354,327,274,standing
8,315,326,277,322,337,274,357,330,276,315,326,276,322,337,274,357,330,275,315,326,277,322,336,274,357,330,275,315,326,277,322,336,274,357,330,275,315,326,276,322,336,274,356,329,275,315,326,276,322,336,273,356,329,275,315,325,276,322,336,274,356,329,275,315,325,275,322,335,273,356,329,274,315,325,276,322,335,274,356,329,275,315,325,275,323,335,274,356,329,274,315,325,276,322,335,274,356,329,274,315,325,276,321,335,274,356,329,275,316,326,277,323,336,274,357,330,275,314,324,274,320,334,272,354,327,273,314,324,274,321,334,273,354,327,274,314,324,275,320,334,272,354,327,273,313,324,274,321,334,272,354,328,274,314,324,274,321,335,273,354,328,274,314,324,275,320,335,273,354,328,274,314,324,275,321,335,273,354,328,274,314,324,275,321,335,272,354,327,274,314,324,274,321,335,273,354,327,274,314,324,275,321,335,273,354,327,274,314,323,274,320,335,272,354,328,274,314,324,275,320,335,272,354,327,274,314,324,275,320,335,272,354,327,274,314,324,275,321,334,272,354,327,274,314,324,274,321,334,272,354,328,274,314,325,274,320,334,272,354,327,274,314,324,274,320,335,272,354,327,273,314,323,275,320,334,272,354,327,273,313,323,274,320,333,272,354,327,273,314,323,274,320,334,272,354,327,274,313,323,274,320,334,273,354,327,273,314,324,275,321,335,273,355,328,274,313,323,274,320,334,272,354,327,273,313,324,274,321,335,273,355,328,274,313,324,274,321,334,272,354,327,273,313,323,274,320,334,272,354,327,273,313,323,274,320,335,272,354,327,274,313,323,273,320,334,272,354,327,274,313,324,274,320,335,272,354,327,274,313,324,274,320,335,272,354,327,273,313,323,274,319,334,272,354,327,273,313,324,274,320,333,272,354,327,274,313,324,274,320,332,272,354,327,274,314,324,274,320,333,272,354,327,273,314,323,274,320,333,272,354,327,273,314,323,274,320,333,272,354,327,274,314,323,274,320,335,272,354,327,274,standing
9,315,326,276,322,337,274,356,330,275,316,326,276,322,337,274,356,329,275,316,326,276,322,337,274,356,329,275,316,326,276,322,337,274,356,329,275,316,325,276,322,337,274,356,329,275,315,325,276,322,337,274,356,329,275,316,325,276,322,337,274,356,329,275,316,325,276,322,337,274,356,329,275,316,325,277,322,337,274,356,328,275,316,325,276,322,337,274,356,328,275,316,325,277,322,337,274,355,329,275,315,325,276,321,336,274,355,328,275,316,325,276,322,335,273,354,327,274,314,324,275,320,334,273,354,328,274,314,323,275,320,334,272,354,327,274,314,324,274,321,334,272,354,327,273,314,324,275,321,334,272,354,327,274,314,324,275,320,333,272,355,327,274,313,324,275,320,333,272,354,327,274,313,324,275,321,333,272,354,327,274,313,324,275,320,333,272,354,327,274,314,324,274,320,332,272,355,328,274,313,324,275,320,333,272,355,328,274,313,324,275,320,333,272,355,328,274,313,324,275,320,333,272,355,327,274,313,324,275,320,334,272,354,327,274,313,324,275,320,334,272,354,327,274,314,325,276,321,334,273,354,327,273,313,324,274,321,335,272,354,327,274,313,325,274,320,335,272,354,327,274,313,324,275,321,335,273,354,327,274,313,324,275,321,336,273,354,327,274,313,324,275,320,336,273,354,327,274,313,324,275,321,335,273,355,327,274,313,324,275,320,334,273,355,327,274,313,324,275,320,334,272,354,327,274,314,324,274,320,334,272,354,327,274,313,324,275,320,333,272,354,327,273,313,324,275,319,333,272,354,327,274,313,324,275,320,333,272,354,327,274,313,324,274,321,333,272,355,328,274,313,324,275,321,334,272,355,327,274,313,324,275,321,335,272,355,327,274,313,324,274,321,335,273,355,327,274,314,324,275,320,336,272,354,327,274,314,324,274,321,336,272,354,327,274,314,324,275,320,335,273,354,327,274,314,324,274,319,334,272,354,327,274,313,324,274,320,334,273,355,327,273,314,325,276,320,334,272,355,327,274,standing
