,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451
0,338,344,294,349,340,292,376,347,292,334,337,288,344,334,287,371,343,288,337,341,290,347,337,290,375,346,291,333,337,288,343,334,288,371,342,288,333,337,288,343,335,288,371,342,288,333,337,287,343,335,287,371,344,290,335,339,289,345,337,288,374,345,289,333,337,287,343,334,287,370,342,287,333,337,287,344,335,287,369,342,286,337,340,289,347,337,289,372,343,289,333,335,285,341,332,284,368,339,285,334,338,288,343,335,287,372,344,290,333,337,288,343,335,287,370,341,288,334,337,288,344,336,288,371,342,287,335,341,292,348,340,290,374,345,291,333,337,288,343,336,287,371,343,288,335,339,289,345,336,287,370,342,286,333,337,288,344,336,287,370,342,288,333,337,288,343,336,288,370,341,287,336,339,290,346,338,289,372,341,289,336,339,288,343,335,287,370,341,286,335,338,289,345,337,288,372,343,289,331,334,285,340,332,284,367,338,286,331,334,285,340,331,283,366,338,285,331,334,285,341,331,284,366,338,285,333,336,287,343,333,286,369,340,287,332,336,287,343,334,285,369,341,287,333,337,288,344,335,287,370,342,288,333,337,288,343,335,287,370,342,288,334,337,288,343,335,287,370,341,287,333,337,287,343,335,286,369,341,287,333,337,288,343,335,287,370,342,287,333,336,287,343,335,287,370,341,288,333,336,287,343,335,286,370,342,287,336,339,290,347,338,289,373,344,290,334,337,288,344,335,287,370,341,288,334,337,288,343,335,287,370,342,287,333,337,287,342,335,287,370,341,287,334,336,287,343,334,286,370,341,288,334,337,287,343,334,286,371,342,288,334,337,287,343,334,287,370,341,287,334,336,287,344,334,286,370,342,288,334,337,287,344,335,286,370,341,290,334,337,288,344,335,286,370,342,287,334,337,287,344,335,286,370,342,288,333,337,288,343,336,287,370,342,288,333,337,287,342,335,287,370,341,287,333,337,287,342,335,286,370,341,287,333,336,288,343,334,286,370,341,288,333,336,287,343,335,287,370,342,288,standing
1,336,340,290,346,337,289,375,345,290,336,340,289,346,337,289,375,345,290,336,340,290,347,338,289,375,345,290,336,340,290,346,337,289,375,345,290,335,340,290,346,338,289,375,346,291,336,340,290,346,338,290,375,345,290,335,340,290,346,337,289,374,345,291,335,340,290,346,336,290,376,347,292,335,339,289,346,337,289,374,345,290,335,340,289,347,338,289,373,345,290,335,339,289,346,337,289,374,344,290,335,340,289,347,338,289,374,344,290,335,340,289,346,337,288,373,344,290,335,339,289,346,337,288,373,344,290,335,340,290,346,338,288,373,344,290,335,340,290,346,338,289,372,344,290,335,339,290,346,338,289,373,344,290,333,336,288,344,335,287,370,341,287,333,336,287,343,335,287,370,341,287,333,337,288,343,335,287,370,342,287,333,337,288,343,335,287,370,342,287,333,336,287,342,335,286,371,342,287,333,336,287,343,335,286,370,341,288,333,336,288,343,335,286,371,342,287,333,336,288,343,335,286,371,342,287,333,337,288,343,335,286,370,342,288,332,336,288,343,334,287,370,341,288,333,336,287,344,334,288,370,342,288,333,336,287,344,335,287,371,342,287,333,336,288,344,333,287,371,342,288,333,337,287,343,334,287,371,342,288,333,336,287,343,333,286,371,342,288,333,336,287,343,334,286,371,342,288,333,337,287,343,334,286,370,342,288,333,336,287,342,334,287,371,342,287,333,336,288,342,334,286,371,342,287,333,337,288,343,335,287,371,342,288,334,337,288,344,335,287,371,342,288,333,336,287,344,335,287,371,341,288,333,336,288,344,335,286,371,342,288,334,337,288,344,335,287,371,342,287,330,334,285,340,332,286,369,340,288,330,334,285,340,331,284,368,339,285,330,334,285,340,331,285,368,339,285,330,334,285,340,331,284,368,339,285,331,334,285,340,331,283,368,339,285,330,334,285,340,332,285,368,339,286,330,333,285,343,335,287,371,342,288,334,336,285,343,335,286,370,341,285,330,334,285,341,332,284,368,339,285,standing
2,333,337,288,343,335,287,372,342,288,333,337,288,344,335,287,372,342,288,333,337,288,344,335,287,372,342,288,333,337,288,343,334,287,371,342,288,333,337,288,343,334,287,372,342,288,332,336,288,343,334,286,371,341,287,333,336,287,343,334,287,371,342,287,333,336,288,343,334,287,370,342,287,333,336,288,343,334,287,371,342,288,332,336,288,343,334,287,371,342,287,333,336,288,343,335,287,371,342,288,332,336,288,343,334,287,371,342,287,335,336,288,344,333,285,368,340,285,330,333,286,340,332,284,369,340,285,330,333,286,340,332,284,368,339,285,330,334,285,340,332,284,368,339,285,331,334,285,340,332,284,368,339,285,330,334,285,340,332,284,368,339,285,330,333,285,340,332,285,368,339,286,330,334,285,340,332,285,368,339,285,330,334,284,340,332,284,368,338,285,330,333,284,340,332,284,368,339,285,330,334,284,340,332,284,368,338,286,330,334,285,341,332,284,367,338,285,330,334,285,341,332,283,368,338,285,330,334,285,341,333,284,367,338,285,330,334,285,340,333,284,367,338,285,330,333,285,340,332,284,368,338,285,330,333,285,340,332,284,367,339,285,331,333,286,340,332,284,368,339,286,330,333,286,339,331,284,367,338,284,331,333,286,339,331,283,367,338,285,330,333,285,339,331,284,368,338,285,330,333,285,339,330,284,367,338,284,330,333,285,339,330,284,367,338,285,330,333,284,339,330,284,367,338,285,330,335,285,340,331,285,369,340,285,329,334,284,339,329,284,368,338,284,329,334,283,339,329,283,367,339,285,329,333,284,339,331,284,367,338,285,329,334,284,339,331,284,367,338,284,329,333,284,339,331,283,367,338,285,329,333,285,340,332,284,367,338,285,329,333,285,340,331,283,367,338,284,329,333,285,339,332,284,367,338,285,330,333,285,339,332,284,367,338,284,330,333,285,339,331,284,367,338,284,329,333,285,339,330,284,367,338,285,329,333,284,339,331,285,367,338,285,329,333,284,340,330,283,368,338,285,standing
3,334,336,288,343,334,287,370,342,288,334,336,288,343,334,287,371,342,288,334,336,288,343,334,287,371,342,288,337,337,288,343,334,287,370,342,288,334,336,288,343,334,288,370,341,287,334,337,288,343,334,287,370,342,288,334,336,288,342,334,286,370,341,287,333,337,288,343,334,287,370,341,287,333,337,288,343,334,287,370,342,287,333,337,288,343,334,287,371,342,287,333,337,288,343,334,286,370,342,287,333,337,288,343,335,287,371,342,288,333,337,287,343,334,287,371,342,288,331,334,285,341,332,284,368,339,285,331,334,285,341,332,284,368,339,285,333,337,287,342,332,286,369,340,286,330,334,285,341,332,284,368,339,285,330,334,285,341,332,284,368,339,285,330,333,285,340,332,284,368,339,285,330,334,285,340,332,285,368,339,285,330,334,285,340,332,284,367,339,285,330,334,285,340,332,284,367,339,286,330,333,285,340,331,283,368,339,285,330,333,285,340,331,284,367,339,285,330,334,285,341,332,284,368,339,285,330,334,285,341,331,284,367,339,285,330,334,287,342,332,285,368,339,285,333,337,286,340,332,285,368,339,285,330,334,285,339,332,285,368,339,285,330,334,285,339,332,284,368,339,285,330,334,285,340,332,284,368,339,285,330,334,285,339,332,284,367,338,285,330,334,285,339,332,284,368,339,285,333,337,287,343,334,286,371,340,288,330,334,285,341,332,285,368,338,285,330,333,285,341,331,284,367,338,285,330,335,285,341,332,285,367,339,285,330,334,285,340,331,284,367,338,286,330,334,285,340,332,284,368,339,285,330,334,285,340,332,284,367,338,285,330,333,286,339,332,285,368,339,285,331,334,286,339,331,284,367,339,285,331,334,285,340,331,284,368,339,285,331,334,285,340,331,284,368,339,285,330,334,284,340,331,284,367,339,285,330,334,284,340,331,284,367,338,285,330,334,285,340,331,284,367,338,286,329,334,285,341,332,284,367,339,285,329,334,285,341,333,284,367,339,285,332,336,287,340,333,285,367,339,285,standing
4,334,337,288,344,335,287,371,342,288,334,337,288,343,335,287,371,342,288,333,337,288,343,335,288,370,342,288,333,337,288,343,335,287,370,341,288,333,337,287,343,335,287,370,342,288,333,337,287,343,334,287,370,341,287,333,336,287,343,334,287,370,341,287,333,336,287,343,334,286,370,342,287,333,337,287,343,334,286,370,342,287,333,336,287,342,334,286,371,341,287,333,337,287,343,334,286,371,341,288,333,336,287,343,334,287,371,341,287,333,335,285,340,332,284,368,339,285,330,334,285,340,332,284,368,338,285,330,333,285,340,332,283,368,339,285,330,333,285,340,332,284,368,338,285,330,333,285,341,332,284,368,339,285,330,333,285,340,332,284,368,339,285,330,333,285,341,332,284,367,339,285,330,333,285,341,332,284,368,339,285,330,333,285,340,332,284,368,339,285,330,333,285,340,332,284,368,339,285,330,333,285,340,332,284,367,339,285,330,334,285,340,332,284,367,338,285,330,334,286,340,332,284,367,338,285,330,334,285,340,332,284,367,339,286,331,334,285,340,331,284,367,339,285,331,334,285,340,331,284,367,339,285,330,334,285,340,331,284,367,339,286,331,336,288,342,334,287,369,339,285,330,334,284,339,330,283,367,338,285,330,333,285,340,330,283,367,338,284,329,333,284,339,331,283,367,338,284,329,333,285,340,331,284,367,338,285,329,333,285,339,331,284,366,338,285,329,333,284,339,331,284,366,338,285,329,333,284,339,331,284,366,338,284,330,333,284,339,331,283,366,338,285,330,333,285,339,331,283,367,338,284,330,333,285,340,330,283,367,338,285,330,333,285,339,331,284,367,338,284,330,333,285,340,331,283,366,337,284,330,333,284,340,330,283,367,338,284,330,333,285,339,331,283,367,338,284,330,333,285,339,331,284,366,338,284,330,334,285,340,331,284,367,338,284,329,333,285,339,331,284,366,338,285,329,333,284,339,331,283,366,338,285,330,333,284,339,331,284,366,338,285,330,333,284,340,331,283,366,338,285,standing
5,333,337,287,343,335,288,370,341,288,333,337,287,343,335,288,370,341,288,333,337,287,343,335,288,370,341,288,333,337,287,343,335,288,370,341,288,335,339,289,346,337,290,373,343,288,333,337,287,343,334,287,370,341,288,333,336,287,343,334,286,370,341,288,333,336,287,343,334,287,371,341,287,333,336,287,343,334,287,370,341,288,333,336,287,343,334,286,370,341,288,333,336,287,343,334,286,370,342,288,333,336,287,343,334,287,370,341,287,331,334,285,340,332,284,368,339,285,330,333,285,340,332,285,367,339,285,330,333,285,340,332,284,368,339,286,332,333,286,341,333,285,368,340,286,334,336,288,342,334,287,370,342,287,334,336,288,343,334,287,370,342,288,333,336,287,340,332,285,368,340,285,336,339,290,346,335,287,370,342,287,333,336,287,343,334,287,371,343,288,334,336,288,342,333,286,370,343,288,333,336,288,344,334,287,371,342,287,335,338,289,345,334,288,371,342,287,333,338,287,342,333,286,371,342,288,335,339,289,345,335,288,373,344,290,334,337,288,343,333,286,371,342,288,329,334,285,341,331,285,368,339,285,332,336,287,343,333,286,371,341,287,332,336,287,342,333,286,371,342,287,333,337,288,343,335,287,371,342,288,333,337,288,343,335,288,371,342,288,332,337,287,343,335,287,370,341,287,332,337,287,342,335,286,371,341,288,333,337,287,343,335,287,370,341,288,332,336,287,343,334,286,371,341,288,333,336,288,342,334,286,371,341,287,333,336,288,343,334,287,371,342,287,334,336,287,343,333,287,371,341,287,335,339,290,346,337,288,372,343,288,332,336,288,343,334,287,370,341,287,333,336,288,344,334,287,370,342,288,332,336,287,343,335,286,371,342,288,333,336,287,342,335,286,370,341,288,333,336,288,342,335,287,370,342,289,333,336,288,343,334,286,370,341,288,333,336,288,343,334,287,370,341,287,333,336,288,343,333,287,370,342,288,333,336,287,343,334,287,371,342,288,332,336,288,343,333,287,370,342,288,standing
6,333,337,288,344,334,288,372,342,288,334,337,288,344,334,288,372,342,288,336,340,289,344,334,288,372,342,288,334,337,288,343,334,288,372,342,288,333,337,288,343,333,288,372,342,288,333,337,288,343,333,287,371,342,288,335,339,288,342,334,289,379,344,287,335,337,290,345,334,287,372,344,288,333,337,288,342,333,287,371,342,288,333,337,288,342,333,287,371,342,287,334,337,288,342,333,287,371,341,287,337,340,290,346,337,290,375,345,291,338,343,292,348,337,289,374,345,291,331,334,285,340,330,284,368,339,286,330,334,285,340,330,284,368,338,285,330,334,285,340,331,284,368,338,285,332,335,286,346,336,288,375,343,290,331,335,287,343,332,286,368,339,286,333,337,289,342,333,285,367,339,286,330,334,285,340,332,284,368,340,286,332,335,287,341,332,287,371,342,290,331,335,286,340,332,285,368,339,285,336,338,288,346,336,290,373,344,291,330,334,285,340,333,285,368,339,286,329,334,286,340,332,285,368,339,285,330,334,285,340,331,284,368,339,285,331,334,285,341,332,285,371,344,290,331,335,286,340,331,284,367,339,285,330,334,285,340,331,284,368,338,285,330,333,285,340,331,285,368,339,285,330,334,285,340,331,284,368,338,286,330,334,285,341,332,284,368,339,285,330,334,285,340,331,284,368,339,286,330,334,285,340,332,284,367,339,286,330,334,285,339,333,284,368,340,286,330,334,286,341,332,284,370,341,287,330,334,287,341,332,285,368,339,285,330,334,286,340,331,285,368,339,285,330,333,286,341,331,285,368,339,285,330,333,285,340,331,284,368,339,285,331,334,285,340,331,284,368,339,285,331,334,285,340,331,284,368,339,285,330,334,285,340,331,285,367,339,286,330,334,284,340,331,284,368,339,286,330,334,284,340,332,284,367,338,285,330,334,284,341,332,284,367,338,285,329,334,285,340,332,284,368,338,285,330,333,285,340,332,285,368,338,285,329,333,286,340,331,284,368,339,286,329,333,286,340,331,285,368,339,285,standing
7,333,337,288,343,334,288,371,342,288,333,337,288,343,334,287,371,342,288,333,337,288,342,334,287,371,342,288,333,337,288,342,334,287,371,342,288,332,337,287,342,333,286,371,341,288,332,337,288,343,334,287,371,341,287,332,337,287,342,334,287,370,341,288,333,339,289,343,335,286,371,341,288,332,336,287,343,334,286,371,341,288,332,336,287,343,334,286,371,341,288,332,337,287,343,335,286,371,341,288,332,337,288,344,335,286,371,341,288,330,334,286,341,332,285,368,339,285,329,334,285,341,333,284,368,339,285,329,334,285,341,333,284,368,339,285,329,334,285,340,333,284,368,339,285,329,333,285,340,333,284,368,339,285,330,333,286,340,333,285,368,338,285,330,333,285,340,332,284,367,339,285,331,334,285,341,332,284,368,339,285,330,334,285,340,332,284,368,339,285,330,333,285,340,332,284,367,338,285,330,333,285,340,332,285,368,339,285,330,334,285,340,331,284,368,339,285,330,334,285,340,332,284,368,339,285,330,334,285,340,331,284,368,339,286,330,334,285,339,331,284,368,339,285,330,334,285,340,331,284,368,339,285,330,334,285,340,331,284,368,339,285,330,334,285,341,331,284,368,339,285,330,334,285,340,331,284,367,339,285,330,334,284,340,332,284,367,338,285,330,334,285,340,332,284,367,339,285,330,334,285,340,331,284,367,338,285,330,334,285,340,331,284,367,339,285,330,334,285,340,331,285,367,338,285,330,334,285,340,331,285,367,339,286,330,334,285,341,331,284,368,338,286,330,334,285,339,331,284,368,338,286,330,334,285,340,331,284,368,339,285,330,334,285,340,331,284,368,339,285,330,334,285,340,331,284,367,338,285,330,333,286,343,334,287,369,339,285,330,333,285,340,332,285,368,338,285,330,333,285,340,331,284,368,339,285,330,334,285,340,332,285,368,339,285,330,335,285,340,331,284,368,339,285,330,335,285,340,332,284,367,339,285,330,334,285,340,331,284,368,339,285,330,334,285,340,331,284,367,339,285,standing
8,332,336,287,343,335,287,370,342,288,333,337,287,343,334,287,370,342,288,333,337,288,343,335,287,370,342,288,333,337,287,343,334,287,370,342,288,333,337,287,343,334,287,370,342,288,333,337,287,343,334,287,370,341,287,333,337,287,343,334,287,370,341,288,333,336,287,343,334,287,370,342,287,333,336,287,343,334,287,370,342,287,333,336,288,343,334,287,371,342,287,333,336,288,343,334,287,370,342,288,333,336,288,343,334,287,370,342,287,333,336,289,341,332,285,367,339,286,330,333,286,339,331,285,367,339,285,331,334,287,340,332,284,367,339,286,330,333,286,339,331,284,367,339,285,330,334,286,339,331,284,367,339,286,330,334,286,339,331,284,367,339,285,333,337,288,343,336,289,373,345,289,330,334,286,340,331,285,369,341,287,330,334,286,340,330,284,367,339,285,330,334,286,340,330,284,367,339,285,330,334,285,340,330,284,368,339,285,330,334,284,341,332,285,368,339,285,331,335,286,340,330,284,368,339,285,330,334,285,340,331,285,368,339,285,330,334,285,340,331,285,368,339,285,330,335,285,340,331,284,367,339,285,330,334,285,340,331,285,367,339,285,330,334,285,340,332,284,367,339,286,330,334,285,340,332,284,367,338,285,330,334,285,340,332,284,367,338,285,330,334,285,340,333,284,367,338,285,330,334,285,340,332,285,367,338,285,330,334,285,339,332,285,367,338,285,330,334,286,339,331,284,367,339,285,331,334,285,340,332,284,368,339,286,330,334,285,340,330,284,368,339,285,330,334,285,340,331,284,368,339,285,331,334,285,340,331,284,367,339,285,330,334,285,340,332,285,368,340,286,330,334,285,339,331,284,367,339,286,330,334,285,340,332,284,367,339,285,330,334,285,341,332,284,366,339,285,330,334,285,340,332,285,366,339,285,330,334,285,339,331,284,367,339,285,330,334,286,340,332,284,367,339,285,331,334,285,341,331,284,367,339,285,331,334,285,340,331,284,367,339,285,331,334,285,340,331,284,367,339,285,standing
9,333,337,288,344,335,287,373,342,288,333,337,288,344,335,287,372,342,288,333,337,288,343,335,287,372,341,287,332,336,288,343,334,287,372,341,288,332,336,288,343,334,287,372,341,287,332,336,287,342,334,286,371,341,287,332,336,287,343,334,286,371,341,287,332,336,287,342,335,286,372,341,288,332,337,288,343,335,287,372,341,287,332,336,287,342,335,286,371,341,287,332,337,288,342,334,287,371,341,287,334,339,289,345,337,287,372,342,287,332,336,287,342,335,285,369,339,285,331,334,285,340,332,284,368,339,285,330,334,286,340,332,284,368,339,285,329,335,286,341,332,285,368,339,285,329,334,285,340,332,285,367,339,285,330,334,285,341,332,285,367,340,286,329,335,285,340,332,284,367,339,285,329,335,285,340,332,284,367,340,285,330,334,286,340,333,285,367,340,285,330,335,286,340,332,284,367,339,285,330,335,285,340,332,284,367,339,285,330,335,285,340,331,284,367,339,285,330,335,286,340,331,283,367,339,286,330,335,286,340,332,283,366,339,285,331,334,285,340,331,284,366,339,285,331,334,285,341,332,284,366,339,285,331,334,285,341,332,285,366,339,285,331,334,285,340,332,285,366,339,285,330,333,284,339,331,284,365,338,284,331,333,284,339,331,283,365,338,285,330,333,284,339,330,283,366,339,284,331,334,284,339,331,284,366,338,284,330,333,284,339,331,284,366,338,284,331,335,285,340,332,285,367,340,285,330,333,284,339,331,284,366,339,284,330,333,284,340,331,283,365,339,284,330,333,284,340,332,283,366,339,284,330,333,284,339,332,283,366,338,284,330,333,284,339,333,283,366,338,285,330,333,284,339,333,284,368,339,286,329,333,283,339,332,283,366,337,285,329,334,284,339,332,283,367,337,285,329,333,284,340,331,284,368,338,285,329,333,284,340,330,283,368,338,285,330,335,285,341,331,284,368,338,285,329,333,285,339,331,283,368,338,285,329,332,285,339,332,284,368,338,285,330,333,285,339,332,284,368,338,284,standing
