,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451
0,338,351,285,338,339,285,378,347,287,334,349,284,337,339,287,379,350,288,337,349,285,339,339,286,379,351,289,337,348,285,338,339,287,379,351,290,334,346,282,335,336,283,377,349,287,336,349,283,337,336,284,377,351,288,336,348,284,337,337,285,377,349,287,336,350,283,335,334,285,377,349,285,336,347,281,334,333,283,375,347,286,335,346,284,336,336,284,375,351,289,334,346,281,332,332,283,374,349,286,337,352,285,337,338,285,376,351,288,336,349,284,336,336,285,376,352,287,336,351,285,337,337,286,376,353,288,333,349,285,336,338,285,376,353,289,334,348,283,334,335,284,376,353,288,337,351,284,335,334,284,374,350,288,335,348,283,335,334,284,374,352,288,337,350,285,338,334,283,375,352,288,336,349,283,335,335,284,373,349,285,334,348,283,335,334,282,372,350,287,333,347,282,334,335,283,372,350,287,332,346,280,332,333,281,369,347,284,333,346,281,332,332,281,369,347,284,332,346,281,333,333,281,369,346,284,331,346,281,332,333,281,369,347,283,331,346,280,332,333,281,371,347,283,330,346,280,332,333,282,371,346,283,331,346,280,332,333,281,371,346,282,330,347,280,332,332,281,371,346,282,332,346,280,332,332,281,371,345,283,331,346,280,332,332,281,371,345,283,330,346,280,332,332,281,372,345,283,331,346,281,333,334,284,373,347,286,331,346,280,331,332,281,371,345,283,331,346,280,331,333,281,371,344,283,331,347,280,332,333,281,371,345,284,331,346,281,332,334,281,372,345,283,331,347,281,332,336,282,373,345,284,331,345,280,332,333,281,373,345,284,333,347,282,333,334,281,374,347,284,330,345,279,332,335,283,375,348,285,333,349,282,335,338,284,375,349,286,330,345,280,332,333,281,372,345,283,333,346,280,332,333,281,372,346,283,331,345,280,331,333,281,371,346,284,332,346,281,332,334,281,371,346,284,332,345,280,332,333,280,371,346,284,332,345,280,332,333,281,371,346,283,331,346,280,332,334,281,372,345,283,standing
1,333,347,281,333,335,283,374,347,285,333,346,281,333,334,283,374,347,285,333,346,281,333,334,283,374,347,285,333,346,281,333,334,283,374,347,285,333,346,281,333,334,283,374,347,285,334,347,281,333,335,283,375,347,285,336,349,283,335,336,284,377,350,287,336,348,283,335,336,284,377,350,287,336,348,283,335,336,285,377,349,286,336,349,283,335,337,285,377,349,287,336,348,283,334,337,285,376,349,287,336,348,283,335,337,285,377,350,286,337,348,283,334,336,285,377,350,287,336,348,284,334,336,285,376,349,287,336,348,283,334,336,284,376,349,288,336,348,283,334,336,284,376,349,288,336,348,283,334,336,284,376,349,287,336,348,284,335,336,284,376,349,287,336,348,283,335,336,285,376,349,287,335,346,282,333,334,283,374,348,286,335,346,282,333,334,283,374,347,286,335,346,281,333,334,284,374,347,286,334,346,282,333,334,284,374,348,286,335,345,281,333,334,283,374,348,286,334,346,281,333,334,283,374,347,286,334,346,281,333,334,283,374,347,285,334,346,281,332,333,283,373,348,285,334,347,281,333,334,283,373,348,285,334,347,282,333,334,284,373,348,285,333,346,281,333,334,284,373,347,285,333,347,281,333,333,284,373,347,284,333,347,282,332,333,284,373,347,285,333,347,281,332,333,285,374,348,284,333,347,281,332,334,284,374,347,285,334,347,281,331,335,283,374,348,285,334,347,281,331,335,281,374,347,286,333,348,281,333,337,281,374,348,285,333,348,281,334,337,282,375,349,284,333,348,281,336,337,281,374,348,284,334,348,281,336,337,282,374,348,283,331,347,280,332,334,281,371,346,282,330,346,280,331,333,281,371,346,283,333,349,284,333,335,283,374,347,285,330,346,280,331,331,281,371,344,284,331,346,279,332,333,283,372,347,286,332,346,283,332,331,285,372,345,286,333,348,284,332,334,284,372,346,287,330,346,282,329,332,281,369,344,285,330,345,281,329,333,281,369,345,285,331,347,281,331,333,281,369,345,284,standing
2,334,347,282,335,336,283,374,348,286,334,347,282,335,336,283,374,348,286,335,348,283,335,336,283,374,348,286,334,348,283,335,336,283,373,347,286,335,348,282,335,336,283,373,347,286,335,346,281,334,336,283,373,347,285,335,347,282,334,336,283,373,347,285,335,347,281,333,337,282,373,346,285,335,346,280,333,337,282,373,347,285,335,347,281,333,337,283,374,347,285,335,348,280,333,337,283,373,347,285,335,347,280,334,337,283,374,347,284,335,347,279,332,335,281,373,345,283,335,347,280,334,336,282,375,347,284,333,345,278,333,334,281,373,345,282,333,345,278,333,333,281,373,345,283,332,345,278,333,333,281,373,346,283,332,345,278,333,332,281,374,346,282,333,345,278,332,331,281,374,346,283,334,344,279,333,331,281,374,346,283,334,344,279,332,331,282,374,347,283,333,345,279,332,330,282,373,347,284,334,344,280,333,330,282,373,347,284,335,344,280,332,330,282,372,346,284,334,344,280,332,331,282,371,346,284,333,344,281,331,331,282,371,346,284,334,344,280,330,332,281,371,346,285,334,344,280,330,332,281,370,346,284,334,344,280,330,332,280,370,346,284,333,344,280,331,333,281,371,346,284,334,344,280,331,333,282,372,346,284,333,344,280,330,332,281,372,346,283,333,344,281,332,333,281,373,347,283,333,344,280,329,332,281,373,346,283,332,345,280,329,332,282,372,347,284,332,345,280,329,332,281,371,346,283,331,345,281,329,332,281,370,346,283,330,345,280,330,332,280,370,346,282,330,346,280,332,332,281,370,346,282,330,346,280,334,332,281,370,346,281,330,346,280,336,332,281,370,346,282,330,346,280,332,331,281,370,346,281,330,345,280,332,330,282,368,345,282,330,345,282,331,330,282,368,345,282,330,346,282,330,328,283,368,345,283,329,345,283,330,329,281,367,345,283,329,345,282,330,330,281,367,345,283,329,347,283,332,331,281,368,345,283,329,346,281,331,331,281,369,345,282,330,346,280,330,332,282,368,346,282,standing
3,334,347,281,335,334,284,374,348,285,334,347,282,335,334,284,374,348,285,334,347,282,335,333,284,374,348,285,334,347,282,335,333,284,374,348,285,334,348,284,337,335,285,375,348,286,334,347,282,335,332,283,374,348,285,334,347,282,335,332,284,374,348,286,334,347,282,335,332,284,374,347,286,335,347,282,335,331,283,374,348,286,335,347,283,335,331,283,374,348,286,335,347,283,335,331,283,374,348,286,336,349,285,337,332,284,375,349,287,336,347,283,336,333,284,375,348,287,336,347,283,336,331,284,372,347,287,334,345,281,334,329,282,371,346,285,335,345,281,334,330,281,372,345,285,335,344,280,334,330,281,372,345,285,335,344,280,334,331,281,372,346,285,337,346,281,334,331,282,372,345,285,334,345,280,333,332,282,373,346,285,334,345,280,333,332,281,373,346,285,334,345,280,332,333,282,373,346,285,334,346,280,333,333,282,373,345,284,334,345,278,333,333,281,374,346,285,335,345,280,333,334,281,374,346,285,334,345,279,333,333,281,374,346,285,332,347,280,334,333,281,374,346,285,333,346,278,333,332,280,374,347,285,335,345,278,333,332,280,373,347,285,335,345,279,334,332,281,373,347,284,334,346,279,333,332,281,373,347,285,333,346,279,333,331,281,372,346,285,336,346,280,333,331,281,373,346,284,336,344,278,333,330,283,373,347,284,336,345,279,333,331,280,373,347,284,335,346,279,333,331,281,374,347,284,335,345,280,333,332,281,374,347,284,337,345,279,332,331,281,372,347,284,336,346,279,332,331,282,372,348,284,335,345,280,332,332,281,371,348,284,335,345,280,332,332,281,371,348,284,335,345,279,334,335,281,371,348,284,336,345,280,333,333,281,371,349,284,335,345,280,333,333,281,371,348,284,335,345,281,335,334,281,371,348,284,334,345,281,333,333,281,371,348,283,334,345,280,333,332,281,371,347,283,333,345,280,333,331,281,370,347,283,333,345,281,333,331,280,369,347,283,332,345,280,333,331,281,370,346,283,standing
4,333,348,282,336,335,283,373,351,285,333,348,282,336,334,283,373,351,286,333,348,282,336,335,284,373,351,286,333,348,282,335,335,283,373,350,285,333,347,282,335,334,283,373,350,285,333,347,282,336,334,283,373,350,285,333,347,281,335,334,283,373,350,285,332,347,282,335,334,282,373,349,285,333,347,282,335,334,282,373,350,285,334,349,283,337,337,283,373,350,285,333,347,282,336,334,283,373,350,285,333,347,282,336,334,283,373,350,285,331,345,280,334,331,281,370,347,283,331,346,280,333,331,281,370,347,283,331,345,280,333,331,281,370,348,282,331,345,280,333,331,281,370,347,282,331,345,281,333,331,281,369,347,283,331,345,280,333,331,281,369,347,283,332,345,280,332,331,281,369,347,283,331,345,280,333,331,281,369,347,283,332,345,280,333,332,282,369,347,283,332,345,280,333,331,282,369,347,284,332,345,281,333,331,281,369,346,283,331,345,280,333,331,281,369,347,283,331,345,280,333,331,281,370,346,283,332,345,280,333,331,281,370,346,283,332,345,280,333,332,281,370,346,283,332,345,280,333,332,282,370,347,284,332,345,280,333,332,281,370,347,283,332,345,280,333,333,281,371,347,283,332,345,280,333,332,281,371,347,283,332,345,280,335,335,282,371,347,283,331,345,279,333,331,281,370,346,283,331,345,280,333,330,281,370,346,283,331,345,280,333,331,281,370,346,283,331,345,280,332,330,281,369,346,283,331,345,280,332,330,280,369,346,283,331,345,280,332,330,281,370,348,285,331,345,280,333,331,281,369,346,283,330,345,280,333,331,281,369,346,283,331,345,280,333,331,281,370,346,283,331,345,279,333,331,280,370,346,283,332,346,280,334,332,281,371,348,284,331,345,279,333,331,280,370,347,283,331,344,279,334,331,281,370,346,283,331,345,280,332,330,281,370,346,283,331,345,280,332,331,281,370,346,283,331,345,280,332,330,281,370,346,283,332,345,280,333,331,281,370,346,283,332,345,280,333,331,280,370,346,283,standing
5,334,348,281,335,333,283,372,350,285,334,348,282,335,333,283,372,350,285,334,348,281,335,333,283,372,350,285,334,348,282,335,333,283,372,349,285,334,348,282,335,333,283,372,350,285,334,348,282,335,333,282,373,351,286,336,350,283,337,335,285,374,351,285,334,348,282,334,335,284,374,351,289,335,348,282,335,333,283,372,349,285,334,348,282,335,333,283,372,349,285,334,348,282,335,333,283,372,349,285,334,348,282,336,333,283,372,349,285,334,348,282,335,333,284,372,349,285,332,346,280,334,331,281,370,347,283,332,346,280,334,331,281,371,347,283,334,348,282,336,333,282,373,349,285,334,349,282,336,333,282,372,349,286,332,346,280,333,331,281,370,348,284,332,346,280,333,332,281,370,347,283,336,349,282,335,334,282,373,350,285,334,349,282,335,334,283,373,349,286,334,348,282,335,333,283,373,349,286,335,349,281,335,334,283,373,350,286,335,349,282,335,334,284,373,350,285,335,348,281,334,334,285,373,350,286,334,348,281,335,332,283,373,349,284,332,346,280,333,331,281,370,347,283,333,347,282,334,332,282,372,349,285,334,347,282,334,332,283,372,349,285,335,348,282,335,333,284,372,349,286,334,348,282,335,333,283,372,349,285,334,348,281,335,333,283,372,349,285,333,347,282,335,333,283,372,349,285,334,348,282,335,333,283,372,349,284,334,347,282,335,333,283,372,349,284,335,347,282,335,333,283,372,349,284,334,347,281,335,333,283,372,350,285,333,348,282,335,333,284,371,350,285,334,347,281,335,333,283,371,350,284,334,348,281,335,333,283,371,351,285,333,348,282,335,333,283,371,350,285,333,348,281,335,334,283,370,350,284,334,347,281,336,334,282,371,350,286,333,348,282,336,334,283,372,351,285,334,348,281,336,334,283,370,350,284,334,348,282,336,334,283,370,351,285,335,348,282,335,334,283,371,351,285,335,348,282,335,334,283,371,351,285,335,349,282,335,333,283,371,351,284,338,351,284,337,335,285,373,353,287,standing
6,334,348,283,336,334,283,373,352,286,335,348,282,336,334,283,373,352,285,334,348,282,335,333,283,372,351,284,335,348,282,335,333,283,373,351,284,335,348,283,335,333,283,373,351,285,334,347,283,337,335,286,375,351,285,335,347,281,335,333,282,374,352,287,337,349,283,337,335,284,375,353,286,336,349,283,337,335,284,375,352,286,336,349,283,337,335,284,375,352,286,335,349,283,338,335,285,375,352,286,335,350,282,337,335,285,376,353,287,335,350,283,337,335,285,375,352,287,336,349,283,338,335,286,375,350,285,334,347,281,336,333,283,374,350,284,333,347,281,336,333,283,374,350,285,334,348,282,336,333,283,373,350,285,334,347,282,336,333,283,374,350,285,334,347,282,335,333,283,373,350,284,333,348,282,336,333,283,374,350,286,333,348,282,335,333,283,374,350,285,333,347,282,335,333,283,374,350,285,334,347,282,335,333,283,374,352,286,334,347,282,336,333,283,374,351,284,333,347,282,335,333,282,374,351,285,333,347,282,335,333,283,374,351,286,333,347,281,336,334,283,374,351,285,334,348,282,336,333,283,373,351,285,333,348,282,336,333,283,372,351,285,335,350,284,337,334,286,376,354,288,333,348,282,336,333,283,372,350,284,333,348,281,336,333,282,372,350,285,334,348,281,336,334,283,372,351,285,334,348,281,336,333,283,372,351,285,334,348,282,336,334,283,372,351,285,335,348,281,336,334,283,371,351,284,336,348,283,336,335,283,372,355,287,335,347,280,335,332,281,369,349,283,337,348,282,337,334,283,371,352,285,337,349,283,337,334,283,371,351,284,337,349,282,335,333,283,368,350,285,335,346,280,334,331,281,367,349,283,336,347,281,334,331,281,367,349,283,338,350,283,335,331,283,368,349,283,335,346,280,333,331,282,370,352,285,336,348,282,336,335,283,370,352,285,334,345,282,337,334,283,370,352,285,334,346,280,334,332,281,368,350,283,333,346,280,335,332,281,369,350,283,334,346,280,334,332,281,369,349,283,standing
7,337,351,284,339,336,285,376,355,288,335,348,282,337,334,283,373,352,286,335,349,282,337,335,283,373,352,285,337,351,283,336,334,282,374,352,284,337,351,284,339,335,283,372,353,287,337,351,285,336,334,282,373,351,285,334,348,282,336,334,283,371,351,284,337,350,284,338,336,285,373,353,286,335,347,283,337,334,283,372,352,285,338,350,284,338,336,285,373,354,285,337,352,284,338,336,286,373,355,288,335,349,282,336,333,283,372,351,285,334,348,282,339,337,285,376,355,287,333,346,280,333,330,282,373,351,285,332,346,280,334,331,281,371,349,283,335,349,282,336,334,282,371,348,284,333,346,279,336,333,283,373,354,286,333,346,280,334,331,281,370,349,283,336,349,282,338,335,283,374,354,286,333,346,280,334,332,281,371,349,283,336,349,282,336,335,282,371,349,283,336,347,280,335,331,282,372,350,282,333,346,280,334,332,281,370,349,283,333,346,280,334,332,281,371,349,283,333,346,280,334,332,281,371,349,283,333,345,280,334,332,281,370,348,283,333,346,280,335,332,281,370,348,283,333,346,280,335,332,281,370,348,283,333,345,280,335,331,281,371,348,283,334,348,281,335,331,281,371,348,283,332,346,280,334,332,281,370,349,283,331,346,280,334,332,281,370,348,283,332,346,280,334,331,281,370,349,283,332,346,280,334,331,281,370,348,283,332,347,280,334,331,281,370,348,283,331,346,280,334,332,281,370,348,283,333,345,279,334,332,281,370,349,282,333,345,280,334,332,281,370,349,283,332,346,281,334,332,281,370,349,283,332,345,280,334,332,281,370,349,283,332,346,280,335,332,281,370,349,283,332,346,280,334,332,282,371,349,283,332,346,280,334,332,282,372,351,285,332,345,280,334,331,281,370,349,283,333,346,281,334,332,281,370,349,283,332,346,280,334,331,281,370,349,283,332,346,280,335,332,281,370,349,283,333,346,279,335,332,281,370,348,283,333,346,280,334,332,281,369,348,283,333,346,280,334,332,281,369,349,283,standing
8,335,348,282,336,335,283,371,351,285,335,348,283,336,334,283,371,351,285,337,350,283,337,334,283,371,351,285,335,348,282,337,334,283,371,351,285,335,348,282,337,334,283,371,351,285,335,348,282,336,334,283,371,350,285,335,348,282,336,334,283,371,350,285,335,348,283,338,336,284,373,353,286,337,350,284,337,336,285,373,353,287,336,348,282,337,334,284,372,351,285,335,348,282,336,334,283,371,351,284,336,348,282,336,334,283,372,351,284,335,348,282,336,334,283,371,351,284,333,346,280,334,332,281,369,349,283,333,345,280,334,332,282,369,349,283,332,346,280,335,332,282,369,349,283,332,346,280,334,332,281,369,349,283,332,347,281,336,334,284,371,349,284,333,346,280,335,332,282,369,348,283,333,346,280,335,332,282,369,348,283,333,346,280,335,333,283,369,348,283,333,346,281,335,333,283,369,348,283,333,346,281,335,333,284,369,348,283,333,346,281,335,333,285,369,348,283,333,346,281,335,334,286,369,348,283,333,346,280,336,335,286,369,348,283,333,346,281,336,334,286,369,348,283,333,346,280,336,334,285,369,348,284,333,346,281,336,333,283,369,348,284,332,346,280,336,333,281,369,348,284,333,346,280,334,334,279,369,348,283,335,348,282,336,338,277,370,348,283,333,346,280,334,334,275,369,348,283,333,346,280,334,334,278,372,350,284,336,348,281,336,335,278,370,348,283,333,348,280,336,336,280,372,350,284,334,346,280,337,336,280,370,348,283,333,346,280,336,335,280,370,348,283,334,346,280,335,335,280,370,348,284,333,346,280,335,335,280,370,349,283,333,346,281,336,335,280,370,348,283,333,345,280,336,335,280,369,348,283,333,345,280,336,335,279,370,348,283,333,345,280,335,335,279,370,348,283,333,346,280,336,335,279,370,348,284,333,345,279,336,335,279,370,348,284,333,345,280,337,335,279,370,348,283,333,345,279,337,335,279,370,348,283,333,345,279,337,335,280,370,348,283,333,345,280,336,335,280,370,348,283,standing
9,335,348,283,339,338,283,373,351,285,335,348,282,339,338,283,373,351,286,335,348,282,339,338,282,373,351,285,335,347,282,339,338,282,372,350,285,335,348,282,339,338,282,372,350,285,335,347,282,339,337,282,372,350,285,335,347,282,339,337,282,372,350,285,335,347,282,339,337,282,372,351,285,337,349,283,339,338,282,372,350,285,335,347,282,339,337,282,372,351,285,335,347,282,339,337,282,372,350,285,335,347,282,339,337,282,372,350,285,335,347,282,339,337,282,372,349,284,333,346,280,337,336,280,370,348,283,333,345,280,337,335,280,370,348,283,333,345,280,337,336,280,370,348,283,333,345,279,337,336,280,370,348,283,334,345,280,337,335,279,371,348,283,333,345,279,337,335,280,370,348,283,333,345,279,337,335,280,371,348,283,333,345,279,337,335,280,370,348,283,333,346,279,337,335,280,370,348,283,333,345,279,337,335,280,370,348,283,333,345,279,337,335,280,370,348,283,333,345,279,337,336,280,370,348,283,333,345,280,337,336,281,370,348,284,333,345,280,338,336,281,370,348,283,334,345,280,337,336,280,370,348,283,333,345,280,337,336,280,370,348,283,333,345,280,337,336,281,369,348,283,334,346,280,337,336,280,370,349,283,333,345,279,336,336,280,369,347,283,333,345,280,337,336,280,369,347,283,333,345,280,337,336,279,369,348,283,332,345,279,337,336,280,369,347,282,332,345,279,336,336,280,369,347,282,333,345,280,336,336,280,369,348,282,333,345,279,337,336,280,370,348,282,333,345,280,336,336,279,369,348,282,333,345,279,336,335,280,369,348,282,334,346,280,337,336,280,369,348,282,333,345,280,337,335,280,369,348,283,333,346,280,336,336,281,370,349,283,333,345,280,337,335,280,369,348,283,333,345,280,337,336,280,369,348,283,334,347,280,337,336,280,369,348,283,332,345,279,336,336,280,369,348,283,332,345,279,336,335,280,369,348,283,333,345,280,337,335,280,369,348,283,332,345,279,336,335,279,369,348,282,standing
