,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,362.0,351.0,271.0,311.0,347.0,271.0,355.0,366.0,286.0,380.0,346.0,277.0
1,362.0,351.0,271.0,311.0,347.0,271.0,355.0,366.0,286.0,380.0,346.0,277.0
2,355.0,357.0,288.0,333.0,346.0,289.0,352.0,355.0,277.0,384.0,329.0,286.0
3,355.0,357.0,288.0,333.0,346.0,289.0,352.0,355.0,277.0,384.0,329.0,286.0
4,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
5,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
6,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
7,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
8,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
9,353.0,353.0,289.0,367.0,352.0,292.0,341.0,355.0,281.0,383.0,325.0,281.0
10,343.0,354.0,288.0,341.0,367.0,286.0,335.0,349.0,280.0,363.0,316.0,281.0
11,343.0,354.0,288.0,341.0,367.0,286.0,335.0,349.0,280.0,363.0,316.0,281.0
12,343.0,354.0,288.0,341.0,367.0,286.0,335.0,349.0,280.0,363.0,316.0,281.0
13,343.0,354.0,288.0,341.0,367.0,286.0,335.0,349.0,280.0,363.0,316.0,281.0
14,350.0,355.0,285.0,342.0,357.0,286.0,338.0,351.0,281.0,365.0,311.0,294.0
15,350.0,355.0,285.0,342.0,357.0,286.0,338.0,351.0,281.0,365.0,311.0,294.0
16,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
17,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
18,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
19,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
20,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
21,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
22,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
23,352.0,356.0,288.0,333.0,357.0,287.0,345.0,349.0,281.0,360.0,318.0,302.0
24,340.0,348.0,273.0,310.0,348.0,266.0,337.0,346.0,278.0,356.0,318.0,285.0
25,340.0,348.0,273.0,310.0,348.0,266.0,337.0,346.0,278.0,356.0,318.0,285.0
26,340.0,348.0,273.0,310.0,348.0,266.0,337.0,346.0,278.0,356.0,318.0,285.0
27,340.0,348.0,273.0,310.0,348.0,266.0,337.0,346.0,278.0,356.0,318.0,285.0
28,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
29,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
30,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
31,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
32,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
33,353.0,345.0,272.0,326.0,341.0,275.0,334.0,347.0,281.0,363.0,319.0,277.0
34,335.0,348.0,282.0,333.0,352.0,281.0,337.0,342.0,281.0,363.0,328.0,280.0
35,335.0,348.0,282.0,333.0,352.0,281.0,337.0,342.0,281.0,363.0,328.0,280.0
36,335.0,348.0,282.0,333.0,352.0,281.0,337.0,342.0,281.0,363.0,328.0,280.0
37,335.0,348.0,282.0,333.0,352.0,281.0,337.0,342.0,281.0,363.0,328.0,280.0
38,352.0,355.0,280.0,335.0,348.0,281.0,338.0,343.0,280.0,364.0,327.0,282.0
39,352.0,355.0,280.0,335.0,348.0,281.0,338.0,343.0,280.0,364.0,327.0,282.0
40,354.0,356.0,280.0,337.0,346.0,281.0,338.0,346.0,281.0,367.0,325.0,285.0
41,354.0,356.0,280.0,337.0,346.0,281.0,338.0,346.0,281.0,367.0,325.0,285.0
42,352.0,356.0,282.0,337.0,348.0,284.0,339.0,344.0,281.0,367.0,324.0,287.0
43,352.0,356.0,282.0,337.0,348.0,284.0,339.0,344.0,281.0,367.0,324.0,287.0
44,350.0,357.0,282.0,336.0,349.0,287.0,339.0,346.0,281.0,365.0,323.0,291.0
45,350.0,357.0,282.0,336.0,349.0,287.0,339.0,346.0,281.0,365.0,323.0,291.0
46,346.0,356.0,284.0,339.0,354.0,291.0,345.0,346.0,279.0,365.0,322.0,293.0
47,346.0,356.0,284.0,339.0,354.0,291.0,345.0,346.0,279.0,365.0,322.0,293.0
48,350.0,357.0,285.0,341.0,349.0,291.0,343.0,345.0,281.0,367.0,320.0,295.0
49,350.0,357.0,285.0,341.0,349.0,291.0,343.0,345.0,281.0,367.0,320.0,295.0
50,350.0,357.0,285.0,341.0,349.0,291.0,343.0,345.0,281.0,367.0,320.0,295.0
51,350.0,357.0,285.0,341.0,349.0,291.0,343.0,345.0,281.0,367.0,320.0,295.0
52,359.0,361.0,284.0,340.0,346.0,297.0,350.0,348.0,277.0,368.0,317.0,295.0
53,359.0,361.0,284.0,340.0,346.0,297.0,350.0,348.0,277.0,368.0,317.0,295.0
54,359.0,363.0,283.0,329.0,342.0,294.0,350.0,349.0,277.0,374.0,318.0,295.0
55,359.0,363.0,283.0,329.0,342.0,294.0,350.0,349.0,277.0,374.0,318.0,295.0
56,359.0,363.0,283.0,329.0,342.0,294.0,350.0,349.0,277.0,374.0,318.0,295.0
57,359.0,363.0,283.0,329.0,342.0,294.0,350.0,349.0,277.0,374.0,318.0,295.0
58,368.0,356.0,277.0,324.0,349.0,257.0,350.0,344.0,258.0,371.0,312.0,282.0
